,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,120.0,5712,34.066257,-118.254326,True,10,10_556_0,42,2019-09-16 15:47:55.420297
1,316.0,5796,34.0567358,-118.2447047,True,10,10_533_1,16,2019-09-16 15:47:55.420297
2,89.0,5649,34.0835352,-118.2971677,True,10,10_558_0,44,2019-09-16 15:47:55.420297
3,90.0,4165,34.0834451,-118.315059,True,10,10_550_0,16,2019-09-16 15:47:55.420297
4,111.0,3905,34.0687063,-118.2634798,True,10,10_553_0,16,2019-09-16 15:47:55.420297
5,220.0,3877,34.08614,-118.382027,True,10,10_547_0,101,2019-09-16 15:47:55.420297
6,92.0,5799,34.0835618,-118.2921822,True,10,10_561_0,43,2019-09-16 15:47:55.420297
7,292.0,4145,34.0702071,-118.267685,True,10,10_537_1,16,2019-09-16 15:47:55.420297
8,296.0,6131,34.0750082,-118.2804077,True,10,10_534_1,16,2019-09-16 15:47:55.420297
9,313.0,5659,34.044383,-118.2556855,True,10,10_537_1,16,2019-09-16 15:47:55.420297
10,270.0,3880,34.083583,-118.3486345,True,10,10_534_1,16,2019-09-16 15:47:55.420297
11,270.0,5990,34.0835625,-118.3149682,True,10,10_541_1,16,2019-09-16 15:47:55.420297
