,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,326.0,5796,34.060776,-118.2493907,True,10,10_533_1,31,2019-09-16 15:51:00.318774
1,90.0,5649,34.0835523,-118.291963,True,10,10_558_0,2,2019-09-16 15:51:00.318774
2,89.0,4165,34.0834843,-118.3096633,True,10,10_550_0,88,2019-09-16 15:51:00.318774
3,142.0,3905,34.0648663,-118.2528947,True,10,10_553_0,2,2019-09-16 15:51:00.318774
4,220.0,3877,34.08614,-118.382065,True,10,10_547_0,2,2019-09-16 15:51:00.318774
5,180.0,5799,34.0832655,-118.28685,True,10,10_561_0,31,2019-09-16 15:51:00.318774
6,220.0,4145,34.072518,-118.2746926,True,10,10_537_1,31,2019-09-16 15:51:00.318774
7,280.0,6131,34.0818044,-118.2865167,True,10,10_534_1,31,2019-09-16 15:51:00.318774
8,34.0,5659,34.048674,-118.251829,True,10,10_537_1,2,2019-09-16 15:51:00.318774
9,258.0,3880,34.0838677,-118.3597047,True,10,10_534_1,31,2019-09-16 15:51:00.318774
10,188.0,5990,34.083141,-118.32608,True,10,10_550_0,1,2019-09-16 15:51:00.318774
