,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,28.0,6046,34.031086,-118.265862,True,745,745_106_0,22,2019-09-16 15:49:57.163461
1,270.0,8024,34.055149,-118.232468,True,745,745_107_1,137,2019-09-16 15:49:57.163461
2,220.0,7863,33.927631,-118.282059,True,745,745_106_0,52,2019-09-16 15:49:57.163461
3,30.0,7622,34.041039,-118.257248,True,745,745_106_0,22,2019-09-16 15:49:57.163461
4,30.0,1643,34.049126,-118.24984,True,745,745_106_0,109,2019-09-16 15:49:57.163461
5,216.0,1601,34.0392073,-118.258121,True,745,745_107_1,25,2019-09-16 15:49:57.163461
6,345.0,8007,33.970474,-118.278252,True,745,745_106_0,52,2019-09-16 15:49:57.163461
7,255.0,8015,33.982384,-118.278976,True,745,745_107_1,52,2019-09-16 15:49:57.163461
8,165.0,8001,33.9301869,-118.282715,True,745,745_106_0,194,2019-09-16 15:49:57.163461
9,220.0,5919,33.927631,-118.281761,True,745,745_106_0,81,2019-09-16 15:49:57.163461
10,191.0,8016,34.055119,-118.232597,True,745,728_142_1,22,2019-09-16 15:49:57.163461
11,360.0,1647,33.991127,-118.278252,True,745,745_106_0,137,2019-09-16 15:49:57.163461
