heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
275.0,9360,34.0619407,-118.325923,False,720,,103,2019-09-17 11:26:46.822618
124.0,9349,34.0383895,-118.2390877,True,720,720_1122_0,47,2019-09-17 11:26:46.822618
90.0,9357,34.0669835,-118.3909787,True,720,720_1139_0,17,2019-09-17 11:26:46.822618
104.0,9363,34.044947,-118.2495968,True,720,720_1139_0,16,2019-09-17 11:26:46.822618
165.0,9440,34.015137,-118.493996,False,720,,69,2019-09-17 11:26:46.822618
46.0,9382,34.027401,-118.488029,True,720,720_1122_0,11,2019-09-17 11:26:46.822618
270.0,9350,34.061867,-118.2855502,True,720,720_1156_1,17,2019-09-17 11:26:46.822618
313.0,9480,34.0466229,-118.251381,True,720,720_1156_1,69,2019-09-17 11:26:46.822618
275.0,9545,34.0671577,-118.3842675,True,720,720_1144_1,46,2019-09-17 11:26:46.822618
94.0,9374,34.018764,-118.149734,True,720,720_1122_0,69,2019-09-17 11:26:46.822618
270.0,9366,34.0624619,-118.354431,True,720,720_1156_1,100,2019-09-17 11:26:46.822618
274.0,9370,34.0224167,-118.1665645,True,720,720_1144_1,17,2019-09-17 11:26:46.822618
289.0,9369,34.062984,-118.361015,True,720,720_1144_1,99,2019-09-17 11:26:46.822618
360.0,9519,34.0397257,-118.239827,True,720,720_1144_1,46,2019-09-17 11:26:46.822618
308.0,9352,34.0486523,-118.2516678,True,720,720_1144_1,17,2019-09-17 11:26:46.822618
105.0,9367,34.056908,-118.273537,True,720,720_1122_0,100,2019-09-17 11:26:46.822618
240.0,9552,34.058311,-118.447128,True,720,720_1150_1,41,2019-09-17 11:26:46.822618
270.0,9378,34.0619129,-118.293892,True,720,720_1144_1,241,2019-09-17 11:26:46.822618
135.0,9396,34.0169298,-118.4884422,True,720,720_1144_1,17,2019-09-17 11:26:46.822618
255.0,9377,34.0578092,-118.4476557,True,720,720_1156_1,16,2019-09-17 11:26:46.822618
90.0,9387,34.0669003,-118.4015748,True,720,720_1122_0,17,2019-09-17 11:26:46.822618
