,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,336.0,1629,34.003644,-118.3307742,True,710,710_115_0,57,2019-09-16 15:50:58.605414
1,185.0,1581,34.009064,-118.3351618,True,710,710_126_1,29,2019-09-16 15:50:58.605414
2,182.0,1627,33.9793533,-118.3352525,False,710,,84,2019-09-16 15:50:58.605414
3,51.0,1644,33.873978,-118.352989,True,710,710_115_0,284,2019-09-16 15:50:58.605414
4,2.0,1638,33.871723,-118.356857,True,710,710_115_0,225,2019-09-16 15:50:58.605414
5,360.0,1633,33.99176,-118.330666,True,710,710_126_1,114,2019-09-16 15:50:58.605414
6,203.0,1594,34.0618038,-118.3079112,True,710,710_126_1,29,2019-09-16 15:50:58.605414
7,204.0,1632,34.0343583,-118.3342453,True,710,710_126_1,29,2019-09-16 15:50:58.605414
8,23.0,1607,34.0535587,-118.323527,True,710,710_115_0,29,2019-09-16 15:50:58.605414
