heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
218.0,8024,34.0531689,-118.244301,True,745,745_107_1,275,2019-09-17 11:24:29.016495
360.0,8018,34.055836,-118.233253,True,745,745_107_1,76,2019-09-17 11:24:29.016495
285.0,8004,34.039364,-118.258652,True,745,745_107_1,104,2019-09-17 11:24:29.016495
15.0,8029,34.023743,-118.270752,True,745,745_106_0,46,2019-09-17 11:24:29.016495
0.0,1592,33.9368462,-118.2780837,True,745,745_106_0,23,2019-09-17 11:24:29.016495
345.0,8009,33.991924,-118.27832,True,745,745_106_0,76,2019-09-17 11:24:29.016495
181.0,6027,33.989395,-118.278389,True,745,745_107_1,105,2019-09-17 11:24:29.016495
