,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,105.0,5712,34.068291,-118.262062,True,10,10_556_0,156,2019-09-16 15:46:54.151915
1,35.0,5796,34.055144,-118.2457912,True,10,10_533_1,12,2019-09-16 15:46:54.151915
2,89.0,5649,34.0835073,-118.2999748,True,10,10_558_0,41,2019-09-16 15:46:54.151915
3,90.0,4165,34.083441,-118.3172573,True,10,10_550_0,12,2019-09-16 15:46:54.151915
4,109.0,3905,34.0697102,-118.2665245,True,10,10_553_0,13,2019-09-16 15:46:54.151915
5,220.0,3877,34.08614,-118.382027,True,10,10_547_0,40,2019-09-16 15:46:54.151915
6,92.0,5799,34.0835377,-118.2942618,True,10,10_561_0,13,2019-09-16 15:46:54.151915
7,291.0,4145,34.069631,-118.2659994,True,10,10_537_1,12,2019-09-16 15:46:54.151915
8,298.0,6131,34.0733233,-118.2766012,True,10,10_534_1,12,2019-09-16 15:46:54.151915
9,309.0,5659,34.0437407,-118.2545615,True,10,10_537_1,13,2019-09-16 15:46:54.151915
10,270.0,3880,34.083473,-118.34388,True,10,10_534_1,12,2019-09-16 15:46:54.151915
11,271.0,5990,34.083562,-118.3119403,True,10,10_541_1,41,2019-09-16 15:46:54.151915
