,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,257.0,9532,34.0671772,-118.4094823,True,720,720_1145_1,100,2019-09-16 15:46:53.982433
1,220.0,9363,34.0385755,-118.2393865,True,720,720_1145_1,101,2019-09-16 15:46:53.982433
2,227.0,9356,34.037816,-118.475412,True,720,720_1145_1,12,2019-09-16 15:46:53.982433
3,92.0,9412,34.0624175,-118.3556957,True,720,720_1126_0,12,2019-09-16 15:46:53.982433
4,298.0,9524,34.0553695,-118.2652585,True,720,720_1144_1,40,2019-09-16 15:46:53.982433
5,135.0,9382,34.018574,-118.490425,True,720,720_1145_1,127,2019-09-16 15:46:53.982433
6,90.0,9366,34.061638,-118.318771,True,720,720_1135_0,155,2019-09-16 15:46:53.982433
7,207.0,9560,34.0419903,-118.2502603,False,720,,41,2019-09-16 15:46:53.982433
8,229.0,9577,34.036228,-118.477379,True,720,720_1144_1,155,2019-09-16 15:46:53.982433
9,221.0,9558,34.0662598,-118.3936172,True,720,720_1123_0,12,2019-09-16 15:46:53.982433
10,24.0,9370,34.0638977,-118.4323315,True,720,720_1126_0,12,2019-09-16 15:46:53.982433
11,126.0,9487,34.0545905,-118.2684085,True,720,720_1135_0,12,2019-09-16 15:46:53.982433
12,119.0,9586,34.0392688,-118.240239,True,720,720_1122_0,12,2019-09-16 15:46:53.982433
13,90.0,9369,34.061665,-118.295822,True,720,720_1122_0,155,2019-09-16 15:46:53.982433
14,96.0,9519,34.062381,-118.34566,True,720,720_1133_0,12,2019-09-16 15:46:53.982433
15,55.0,9352,34.0556198,-118.4521678,True,720,720_1129_0,12,2019-09-16 15:46:53.982433
16,90.0,9389,34.062077,-118.338829,True,720,720_1130_0,67,2019-09-16 15:46:53.982433
17,287.0,9367,34.055504,-118.265533,True,720,720_1145_1,37,2019-09-16 15:46:53.982433
18,15.0,9381,34.0184629,-118.154221,True,720,720_1144_1,11,2019-09-16 15:46:53.982433
19,278.0,9566,34.06414,-118.371346,True,720,720_1145_1,127,2019-09-16 15:46:53.982433
20,75.0,9588,34.061775,-118.286415,True,720,720_1137_0,127,2019-09-16 15:46:53.982433
21,270.0,9552,34.062408,-118.347549,True,720,720_1144_1,37,2019-09-16 15:46:53.982433
22,270.0,9358,34.067108,-118.393799,True,720,720_1144_1,127,2019-09-16 15:46:53.982433
23,220.0,9378,34.038429,-118.23912,True,720,720_1145_1,11,2019-09-16 15:46:53.982433
24,91.0,9393,34.0667868,-118.385861,True,720,720_1126_0,12,2019-09-16 15:46:53.982433
25,292.0,9589,34.0615724,-118.291422,True,720,720_1146_1,12,2019-09-16 15:46:53.982433
26,86.0,9384,34.0238668,-118.1833048,True,720,720_1122_0,12,2019-09-16 15:46:53.982433
27,106.0,9504,34.06537,-118.3772323,True,720,720_1129_0,213,2019-09-16 15:46:53.982433
28,40.0,9372,34.0470972,-118.4637698,True,720,720_1123_0,12,2019-09-16 15:46:53.982433
29,118.0,9503,34.0550593,-118.269585,True,720,720_1122_0,12,2019-09-16 15:46:53.982433
30,299.0,7484,34.0277559,-118.200836,True,720,720_1147_1,11,2019-09-16 15:46:53.982433
31,218.0,9583,34.0672093,-118.3946898,True,720,720_1144_1,12,2019-09-16 15:46:53.982433
32,70.0,9387,34.0588542,-118.4432242,True,720,720_1123_0,41,2019-09-16 15:46:53.982433
