heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
120.0,1629,33.9622142,-118.3277698,True,710,710_126_1,10,2019-09-17 11:03:22.744093
249.0,1630,33.8765045,-118.346467,True,710,710_126_1,10,2019-09-17 11:03:22.744093
220.0,8157,34.05677,-118.231216,True,710,710_126_1,158,2019-09-17 11:03:22.744093
332.0,1641,33.8717333,-118.3568628,True,710,710_115_0,95,2019-09-17 11:03:22.744093
360.0,1644,33.948448,-118.326408,True,710,710_115_0,161,2019-09-17 11:03:22.744093
265.0,1638,34.0617227,-118.3083428,True,710,710_126_1,11,2019-09-17 11:03:22.744093
138.0,1639,34.0041232,-118.3328217,True,710,710_126_1,10,2019-09-17 11:03:22.744093
23.0,1607,34.0516788,-118.3246103,True,710,710_115_0,39,2019-09-17 11:03:22.744093
