,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,30.0,6046,34.025116,-118.269897,True,745,745_106_0,160,2019-09-16 15:48:56.075310
1,270.0,8024,34.055149,-118.232468,True,745,745_107_1,76,2019-09-16 15:48:56.075310
2,220.0,7863,33.927601,-118.282059,True,745,745_106_0,160,2019-09-16 15:48:56.075310
3,38.0,7622,34.0338629,-118.263733,True,745,745_106_0,133,2019-09-16 15:48:56.075310
4,30.0,1643,34.049126,-118.24984,True,745,745_106_0,48,2019-09-16 15:48:56.075310
5,232.0,1601,34.0405155,-118.2562783,True,745,745_107_1,20,2019-09-16 15:48:56.075310
6,345.0,8007,33.9582369,-118.27816,True,745,745_106_0,160,2019-09-16 15:48:56.075310
7,180.0,8015,33.982548,-118.278419,True,745,745_107_1,19,2019-09-16 15:48:56.075310
8,165.0,8001,33.9301869,-118.282715,True,745,745_106_0,133,2019-09-16 15:48:56.075310
9,220.0,5919,33.927631,-118.281761,True,745,745_106_0,20,2019-09-16 15:48:56.075310
10,165.0,8016,34.05468,-118.233124,True,745,745_106_0,133,2019-09-16 15:48:56.075310
11,360.0,1647,33.991127,-118.278252,True,745,745_106_0,76,2019-09-16 15:48:56.075310
