,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,257.0,9532,34.0671772,-118.4094823,True,720,720_1145_1,284,2019-09-16 15:49:57.363283
1,220.0,9363,34.038503,-118.2392423,True,720,720_1145_1,25,2019-09-16 15:49:57.363283
2,225.0,9356,34.0318287,-118.4827775,True,720,720_1145_1,53,2019-09-16 15:49:57.363283
3,44.0,9440,34.0503349,-118.459679,True,720,720_1124_0,52,2019-09-16 15:49:57.363283
4,92.0,9412,34.0622618,-118.3497053,True,720,720_1126_0,53,2019-09-16 15:49:57.363283
5,208.0,9524,34.0547323,-118.2683762,True,720,720_1144_1,25,2019-09-16 15:49:57.363283
6,220.0,9382,34.015961,-118.487381,True,720,720_1123_0,137,2019-09-16 15:49:57.363283
7,75.0,9366,34.061638,-118.309525,True,720,720_1135_0,137,2019-09-16 15:49:57.363283
8,207.0,9560,34.0419903,-118.2502603,False,720,,109,2019-09-16 15:49:57.363283
9,154.0,9558,34.066684,-118.3836687,True,720,720_1123_0,25,2019-09-16 15:49:57.363283
10,98.0,9370,34.0673222,-118.4195388,True,720,720_1126_0,25,2019-09-16 15:49:57.363283
11,179.0,9487,34.0518613,-118.2593065,True,720,720_1135_0,23,2019-09-16 15:49:57.363283
12,93.0,9586,34.0348318,-118.2370475,True,720,720_1122_0,25,2019-09-16 15:49:57.363283
13,92.0,9369,34.061749,-118.290123,True,720,720_1122_0,21,2019-09-16 15:49:57.363283
14,92.0,9519,34.062047,-118.3373935,True,720,720_1133_0,25,2019-09-16 15:49:57.363283
15,67.0,9352,34.0575993,-118.4477415,True,720,720_1129_0,25,2019-09-16 15:49:57.363283
16,90.0,9389,34.061749,-118.323357,True,720,720_1130_0,80,2019-09-16 15:49:57.363283
17,285.0,9367,34.055256,-118.269798,True,720,720_1145_1,52,2019-09-16 15:49:57.363283
18,220.0,9533,34.018822,-118.153992,True,720,720_1144_1,137,2019-09-16 15:49:57.363283
19,220.0,9381,34.0186,-118.154091,True,720,720_1144_1,137,2019-09-16 15:49:57.363283
20,285.0,9566,34.066204,-118.380226,True,720,720_1145_1,137,2019-09-16 15:49:57.363283
21,105.0,9588,34.059574,-118.279465,True,720,720_1137_0,108,2019-09-16 15:49:57.363283
22,270.0,9552,34.062435,-118.353844,True,720,720_1144_1,137,2019-09-16 15:49:57.363283
23,270.0,9358,34.067001,-118.401863,True,720,720_1144_1,137,2019-09-16 15:49:57.363283
24,180.0,9378,34.03664,-118.238594,True,720,720_1145_1,108,2019-09-16 15:49:57.363283
25,91.0,9393,34.0667868,-118.385861,True,720,720_1126_0,195,2019-09-16 15:49:57.363283
26,270.0,9589,34.0616267,-118.2941043,True,720,720_1146_1,25,2019-09-16 15:49:57.363283
27,102.0,9384,34.0228647,-118.1690918,True,720,720_1122_0,25,2019-09-16 15:49:57.363283
28,348.0,9372,34.0493013,-118.4610728,True,720,720_1123_0,25,2019-09-16 15:49:57.363283
29,117.0,9503,34.0556222,-118.26603,True,720,720_1122_0,82,2019-09-16 15:49:57.363283
30,299.0,7484,34.0277559,-118.200836,True,720,720_1147_1,195,2019-09-16 15:49:57.363283
31,256.0,9583,34.0673202,-118.402335,True,720,720_1144_1,25,2019-09-16 15:49:57.363283
32,58.0,9387,34.0663967,-118.4297188,True,720,720_1123_0,25,2019-09-16 15:49:57.363283
