,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,28.0,6046,34.031086,-118.265862,True,745,745_106_0,85,2019-09-16 15:50:59.948666
1,270.0,8024,34.055149,-118.232468,True,745,745_107_1,200,2019-09-16 15:50:59.948666
2,220.0,7863,33.927631,-118.282059,True,745,745_106_0,115,2019-09-16 15:50:59.948666
3,30.0,7622,34.041039,-118.257248,True,745,745_106_0,84,2019-09-16 15:50:59.948666
4,30.0,1643,34.054844,-118.244362,True,745,745_106_0,30,2019-09-16 15:50:59.948666
5,230.0,1601,34.038467,-118.2601498,True,745,745_107_1,31,2019-09-16 15:50:59.948666
6,345.0,8007,33.976688,-118.27832,True,745,745_106_0,29,2019-09-16 15:50:59.948666
7,255.0,8015,33.982384,-118.278976,True,745,745_107_1,115,2019-09-16 15:50:59.948666
8,165.0,8001,33.9301869,-118.282715,True,745,745_106_0,257,2019-09-16 15:50:59.948666
9,351.0,5919,33.9285659,-118.282516,True,745,745_106_0,29,2019-09-16 15:50:59.948666
10,191.0,8016,34.055119,-118.232597,True,745,728_142_1,84,2019-09-16 15:50:59.948666
11,360.0,1647,33.991127,-118.278252,True,745,745_106_0,200,2019-09-16 15:50:59.948666
