,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,30.0,6046,34.025116,-118.269897,True,745,745_106_0,38,2019-09-16 15:46:53.809894
1,220.0,8024,34.057568,-118.230698,True,745,745_107_1,128,2019-09-16 15:46:53.809894
2,220.0,7863,33.927601,-118.282059,True,745,745_106_0,38,2019-09-16 15:46:53.809894
3,38.0,7622,34.0338629,-118.263733,True,745,745_106_0,11,2019-09-16 15:46:53.809894
4,37.0,1643,34.046513,-118.252129,True,745,745_106_0,100,2019-09-16 15:46:53.809894
5,215.0,1593,34.0319797,-118.2654483,False,,,100,2019-09-16 15:46:53.809894
6,212.0,1601,34.0441782,-118.2526568,True,745,745_107_1,12,2019-09-16 15:46:53.809894
7,345.0,8007,33.9582369,-118.27816,True,745,745_106_0,38,2019-09-16 15:46:53.809894
8,180.0,8015,33.990082,-118.278389,True,745,745_107_1,99,2019-09-16 15:46:53.809894
9,165.0,8001,33.9301869,-118.282715,True,745,745_107_1,11,2019-09-16 15:46:53.809894
10,180.0,8008,34.003914,-118.27845,True,745,745_107_1,241,2019-09-16 15:46:53.809894
11,165.0,8016,34.05468,-118.233124,True,745,745_106_0,11,2019-09-16 15:46:53.809894
12,360.0,8009,34.056053,-118.23204,True,745,745_107_1,182,2019-09-16 15:46:53.809894
13,0.0,1647,33.982849,-118.278221,True,745,745_106_0,128,2019-09-16 15:46:53.809894
