,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,120.0,5712,34.066257,-118.254326,True,10,48_556_0,164,2019-09-16 15:49:57.539934
1,314.0,5796,34.0587902,-118.2471737,True,10,10_533_1,25,2019-09-16 15:49:57.539934
2,89.0,5649,34.0835278,-118.2948702,True,10,10_558_0,26,2019-09-16 15:49:57.539934
3,89.0,4165,34.0834843,-118.3096633,True,10,10_550_0,25,2019-09-16 15:49:57.539934
4,104.0,3905,34.067528,-118.258078,True,10,10_553_0,26,2019-09-16 15:49:57.539934
5,220.0,3877,34.08614,-118.382027,True,10,10_547_0,224,2019-09-16 15:49:57.539934
6,112.0,5799,34.0835997,-118.2874428,True,10,10_561_0,53,2019-09-16 15:49:57.539934
7,293.0,4145,34.072208,-118.2737691,True,10,10_537_1,25,2019-09-16 15:49:57.539934
8,360.0,6131,34.080506,-118.2844197,True,10,10_534_1,25,2019-09-16 15:49:57.539934
9,35.0,5659,34.0463767,-118.2540725,True,10,10_537_1,26,2019-09-16 15:49:57.539934
10,270.0,3880,34.083748,-118.357185,True,10,10_534_1,23,2019-09-16 15:49:57.539934
11,270.0,5990,34.0835607,-118.3202098,True,10,10_541_1,82,2019-09-16 15:49:57.539934
