,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,234.0,9532,34.0668522,-118.4287627,True,720,720_1145_1,2,2019-09-16 15:51:00.136160
1,220.0,9363,34.038483,-118.23922,True,720,720_1145_1,29,2019-09-16 15:51:00.136160
2,226.0,9356,34.0282018,-118.4872897,True,720,720_1145_1,2,2019-09-16 15:51:00.136160
3,44.0,9440,34.0503349,-118.459679,True,720,720_1124_0,114,2019-09-16 15:51:00.136160
4,92.0,9412,34.0621843,-118.3463403,True,720,720_1126_0,30,2019-09-16 15:51:00.136160
5,298.0,9524,34.0559937,-118.2713265,True,720,720_1144_1,2,2019-09-16 15:51:00.136160
6,220.0,9382,34.013512,-118.489868,True,720,720_1123_0,29,2019-09-16 15:51:00.136160
7,75.0,9366,34.061722,-118.302673,True,720,720_1135_0,29,2019-09-16 15:51:00.136160
8,46.0,9374,34.028721,-118.486298,True,720,720_1125_0,29,2019-09-16 15:51:00.136160
9,207.0,9560,34.0419903,-118.2502603,False,720,,172,2019-09-16 15:51:00.136160
10,225.0,9577,34.025501,-118.490524,True,720,720_1144_1,57,2019-09-16 15:51:00.136160
11,107.0,9558,34.0664265,-118.3814832,True,720,720_1123_0,2,2019-09-16 15:51:00.136160
12,89.0,9370,34.0669813,-118.4110195,True,720,720_1126_0,2,2019-09-16 15:51:00.136160
13,132.0,9487,34.0505097,-118.258013,True,720,720_1135_0,2,2019-09-16 15:51:00.136160
14,91.0,9586,34.0347365,-118.2303702,True,720,720_1122_0,2,2019-09-16 15:51:00.136160
15,75.0,9369,34.061749,-118.289169,True,720,720_1122_0,29,2019-09-16 15:51:00.136160
16,91.0,9519,34.0618872,-118.3273143,True,720,720_1133_0,2,2019-09-16 15:51:00.136160
17,45.0,9375,34.0322419,-118.482033,True,720,720_1123_0,29,2019-09-16 15:51:00.136160
18,69.0,9352,34.0591052,-118.4426502,True,720,720_1129_0,2,2019-09-16 15:51:00.136160
19,90.0,9389,34.061749,-118.323357,True,720,720_1130_0,143,2019-09-16 15:51:00.136160
20,285.0,9367,34.055256,-118.269798,True,720,720_1145_1,114,2019-09-16 15:51:00.136160
21,285.0,9533,34.0197829,-118.153992,True,720,720_1144_1,57,2019-09-16 15:51:00.136160
22,184.0,9381,34.0187022,-118.154027,True,720,720_1144_1,2,2019-09-16 15:51:00.136160
23,270.0,9566,34.067055,-118.389633,True,720,720_1145_1,0,2019-09-16 15:51:00.136160
24,105.0,9588,34.055946,-118.2715,True,720,720_1137_0,0,2019-09-16 15:51:00.136160
25,255.0,9552,34.063011,-118.361542,True,720,720_1144_1,29,2019-09-16 15:51:00.136160
26,255.0,9358,34.066971,-118.410385,True,720,720_1144_1,29,2019-09-16 15:51:00.136160
27,360.0,9378,34.038593,-118.239967,True,720,720_1145_1,57,2019-09-16 15:51:00.136160
28,91.0,9393,34.0667868,-118.385861,True,720,720_1126_0,258,2019-09-16 15:51:00.136160
29,345.0,9589,34.0615762,-118.3000688,True,720,720_1146_1,2,2019-09-16 15:51:00.136160
30,94.0,9384,34.0222407,-118.166396,True,720,720_1122_0,2,2019-09-16 15:51:00.136160
31,46.0,9372,34.0499157,-118.4602343,True,720,720_1123_0,2,2019-09-16 15:51:00.136160
32,144.0,9503,34.0529703,-118.2599898,True,720,720_1122_0,2,2019-09-16 15:51:00.136160
33,298.0,7484,34.0305899,-118.207191,True,720,720_1147_1,58,2019-09-16 15:51:00.136160
34,255.0,9583,34.0670857,-118.4057797,True,720,720_1144_1,2,2019-09-16 15:51:00.136160
35,93.0,9387,34.0679965,-118.4241842,True,720,720_1123_0,2,2019-09-16 15:51:00.136160
