,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,139.0,9314,34.0467609,-118.443779,True,704,704_167_1,7,2019-09-16 15:08:19.891303
1,315.0,9328,34.046238,-118.44532,True,704,704_166_0,35,2019-09-16 15:08:19.891303
2,338.0,9350,34.0868882,-118.2754703,True,704,704_167_1,8,2019-09-16 15:08:19.891303
3,90.0,6005,34.090706,-118.310211,True,704,704_165_0,64,2019-09-16 15:08:19.891303
4,53.0,9390,34.080639,-118.389961,True,704,704_166_0,34,2019-09-16 15:08:19.891303
5,89.0,9295,34.090679,-118.336472,True,704,704_166_0,119,2019-09-16 15:08:19.891303
6,73.0,9292,34.049442,-118.4375145,True,704,704_165_0,8,2019-09-16 15:08:19.891303
7,118.0,9274,34.078325,-118.2668015,True,704,704_166_0,8,2019-09-16 15:08:19.891303
8,45.0,9296,34.090099,-118.374985,True,704,704_165_0,91,2019-09-16 15:08:19.891303
9,300.0,9240,34.058502,-118.240067,True,704,704_168_1,62,2019-09-16 15:08:19.891303
10,220.0,9288,34.016346,-118.500519,True,704,704_165_0,119,2019-09-16 15:08:19.891303
11,220.0,9307,34.056744,-118.230827,True,704,704_168_1,7,2019-09-16 15:08:19.891303
12,272.0,9222,34.0909606,-118.3601695,True,704,704_167_1,8,2019-09-16 15:08:19.891303
13,62.0,3907,34.0412223,-118.461732,True,704,704_152_0,9,2019-09-16 15:08:19.891303
14,231.0,9301,34.0781076,-118.3945137,True,704,704_168_1,8,2019-09-16 15:08:19.891303
15,270.0,9344,34.090786,-118.323555,True,704,704_168_1,35,2019-09-16 15:08:19.891303
16,108.0,9576,34.056992,-118.230988,True,704,704_165_0,7,2019-09-16 15:08:19.891303
