,heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
0,257.0,9532,34.0671772,-118.4094823,True,720,720_1145_1,223,2019-09-16 15:48:56.290404
1,220.0,9363,34.038536,-118.239449,True,720,720_1145_1,102,2019-09-16 15:48:56.290404
2,227.0,9356,34.0334075,-118.4808343,True,720,720_1145_1,21,2019-09-16 15:48:56.290404
3,45.0,9440,34.049702,-118.460464,True,720,720_1124_0,19,2019-09-16 15:48:56.290404
4,91.0,9412,34.0623075,-118.351751,True,720,720_1126_0,21,2019-09-16 15:48:56.290404
5,217.0,9524,34.0547327,-118.2683593,True,720,720_1144_1,21,2019-09-16 15:48:56.290404
6,220.0,9382,34.015961,-118.487381,True,720,720_1123_0,76,2019-09-16 15:48:56.290404
7,75.0,9366,34.061638,-118.309525,True,720,720_1135_0,76,2019-09-16 15:48:56.290404
8,207.0,9560,34.0419903,-118.2502603,False,720,,48,2019-09-16 15:48:56.290404
9,229.0,9577,34.036228,-118.477379,True,720,720_1144_1,277,2019-09-16 15:48:56.290404
10,80.0,9558,34.0670682,-118.3865607,True,720,720_1123_0,20,2019-09-16 15:48:56.290404
11,62.0,9370,34.0670432,-118.4283532,True,720,720_1126_0,21,2019-09-16 15:48:56.290404
12,117.0,9487,34.0546948,-118.2637553,True,720,720_1135_0,21,2019-09-16 15:48:56.290404
13,146.0,9586,34.039141,-118.2401757,True,720,720_1122_0,49,2019-09-16 15:48:56.290404
14,90.0,9369,34.061691,-118.291794,True,720,720_1122_0,76,2019-09-16 15:48:56.290404
15,89.0,9519,34.0621113,-118.3387898,True,720,720_1133_0,20,2019-09-16 15:48:56.290404
16,75.0,9352,34.057568,-118.447845,True,720,720_1129_0,19,2019-09-16 15:48:56.290404
17,90.0,9389,34.061749,-118.323357,True,720,720_1130_0,19,2019-09-16 15:48:56.290404
18,287.0,9367,34.055504,-118.265533,True,720,720_1145_1,160,2019-09-16 15:48:56.290404
19,220.0,9533,34.018822,-118.153992,True,720,720_1144_1,75,2019-09-16 15:48:56.290404
20,220.0,9381,34.0186,-118.154091,True,720,720_1144_1,76,2019-09-16 15:48:56.290404
21,285.0,9566,34.066204,-118.380226,True,720,720_1145_1,75,2019-09-16 15:48:56.290404
22,105.0,9588,34.059574,-118.279465,True,720,720_1137_0,47,2019-09-16 15:48:56.290404
23,270.0,9552,34.062435,-118.353844,True,720,720_1144_1,75,2019-09-16 15:48:56.290404
24,270.0,9358,34.067001,-118.401863,True,720,720_1144_1,76,2019-09-16 15:48:56.290404
25,180.0,9378,34.03664,-118.238594,True,720,720_1145_1,47,2019-09-16 15:48:56.290404
26,91.0,9393,34.0667868,-118.385861,True,720,720_1126_0,134,2019-09-16 15:48:56.290404
27,270.0,9589,34.0616267,-118.2941043,True,720,720_1146_1,21,2019-09-16 15:48:56.290404
28,104.0,9384,34.0236053,-118.172722,True,720,720_1122_0,21,2019-09-16 15:48:56.290404
29,52.0,9372,34.0480256,-118.4626095,True,720,720_1123_0,21,2019-09-16 15:48:56.290404
30,117.0,9503,34.0556222,-118.26603,True,720,720_1122_0,21,2019-09-16 15:48:56.290404
31,299.0,7484,34.0277559,-118.200836,True,720,720_1147_1,134,2019-09-16 15:48:56.290404
32,277.0,9583,34.0672058,-118.3997955,True,720,720_1144_1,20,2019-09-16 15:48:56.290404
33,59.0,9387,34.0612885,-118.4340085,True,720,720_1123_0,20,2019-09-16 15:48:56.290404
