heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
275.0,9360,34.0619407,-118.325923,False,720,,164,2019-09-17 11:27:47.923148
190.0,9349,34.0351117,-118.238607,True,720,720_1122_0,21,2019-09-17 11:27:47.923148
106.0,9357,34.0668472,-118.3897067,True,720,720_1139_0,21,2019-09-17 11:27:47.923148
127.0,9363,34.0433643,-118.2473425,True,720,720_1139_0,49,2019-09-17 11:27:47.923148
165.0,9440,34.015137,-118.493996,False,720,,130,2019-09-17 11:27:47.923148
46.0,9382,34.027401,-118.488029,True,720,720_1122_0,72,2019-09-17 11:27:47.923148
269.0,9350,34.0617685,-118.2900472,True,720,720_1156_1,21,2019-09-17 11:27:47.923148
313.0,9480,34.0466229,-118.251381,True,720,720_1156_1,130,2019-09-17 11:27:47.923148
270.0,9545,34.0671449,-118.387782,True,720,720_1144_1,21,2019-09-17 11:27:47.923148
94.0,9374,34.018764,-118.149734,True,720,720_1122_0,130,2019-09-17 11:27:47.923148
270.0,9366,34.0624619,-118.354431,True,720,720_1156_1,161,2019-09-17 11:27:47.923148
283.0,9370,34.0228797,-118.1686722,True,720,720_1144_1,21,2019-09-17 11:27:47.923148
289.0,9369,34.062984,-118.361015,True,720,720_1144_1,161,2019-09-17 11:27:47.923148
5.0,9519,34.0414442,-118.2398092,True,720,720_1144_1,21,2019-09-17 11:27:47.923148
308.0,9352,34.0489372,-118.252184,True,720,720_1144_1,21,2019-09-17 11:27:47.923148
105.0,9367,34.056908,-118.273537,True,720,720_1122_0,161,2019-09-17 11:27:47.923148
240.0,9552,34.058311,-118.447128,True,720,720_1150_1,102,2019-09-17 11:27:47.923148
138.0,9396,34.0167917,-118.4883212,True,720,720_1144_1,49,2019-09-17 11:27:47.923148
255.0,9377,34.0578092,-118.4476557,True,720,720_1139_0,78,2019-09-17 11:27:47.923148
90.0,9387,34.0669302,-118.4006648,True,720,720_1122_0,50,2019-09-17 11:27:47.923148
