heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
218.0,8024,34.0531689,-118.244301,True,745,745_107_1,214,2019-09-17 11:23:27.832959
360.0,8018,34.055836,-118.233253,True,745,745_107_1,15,2019-09-17 11:23:27.832959
285.0,8004,34.039364,-118.258652,True,745,745_107_1,43,2019-09-17 11:23:27.832959
343.0,8029,34.011589,-118.27832,True,745,745_106_0,185,2019-09-17 11:23:27.832959
89.0,1592,33.9310479,-118.2787882,True,745,745_106_0,18,2019-09-17 11:23:27.832959
165.0,8008,33.943966,-118.27845,True,745,745_106_0,274,2019-09-17 11:23:27.832959
345.0,8009,33.991924,-118.27832,True,745,745_106_0,15,2019-09-17 11:23:27.832959
181.0,6027,33.989395,-118.278389,True,745,745_107_1,44,2019-09-17 11:23:27.832959
