heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
50.0,1630,33.8730923,-118.3543422,True,710,710_115_0,32,2019-09-17 11:25:34.669339
170.0,1629,33.8984745,-118.326621,True,710,710_126_1,31,2019-09-17 11:25:34.669339
220.0,8157,34.05677,-118.231186,True,710,710_126_1,255,2019-09-17 11:25:34.669339
359.0,1641,33.930009,-118.3264408,True,710,710_115_0,59,2019-09-17 11:25:34.669339
345.0,1644,34.015244,-118.33503,True,710,710_126_1,58,2019-09-17 11:25:34.669339
220.0,7917,33.858662,-118.280159,True,710,710_126_1,29,2019-09-17 11:25:34.669339
180.0,1638,34.0187478,-118.3351597,True,710,710_126_1,31,2019-09-17 11:25:34.669339
34.0,1639,33.930419,-118.3266468,True,710,710_126_1,31,2019-09-17 11:25:34.669339
174.0,1607,34.063206,-118.308479,True,710,710_126_1,258,2019-09-17 11:25:34.669339
