heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
360.0,8018,34.055836,-118.233253,True,745,745_107_1,153,2019-09-17 11:25:45.628862
210.0,8004,34.032761,-118.264816,True,745,745_107_1,9,2019-09-17 11:25:45.628862
15.0,8029,34.023743,-118.270752,True,745,745_106_0,123,2019-09-17 11:25:45.628862
2.0,1592,33.9452307,-118.278124,True,745,745_106_0,42,2019-09-17 11:25:45.628862
345.0,8009,33.991924,-118.27832,True,745,745_106_0,153,2019-09-17 11:25:45.628862
181.0,6027,33.989395,-118.278389,True,745,745_107_1,181,2019-09-17 11:25:45.628862
