heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
220.0,3878,34.086086,-118.382164,True,10,10_546_0,217,2019-09-17 11:23:28.227052
125.0,6016,34.0662033,-118.2541968,True,10,10_546_0,18,2019-09-17 11:23:28.227052
269.0,5721,34.0835701,-118.3235737,True,10,10_533_1,19,2019-09-17 11:23:28.227052
165.0,5839,34.081272,-118.284447,True,10,10_549_0,16,2019-09-17 11:23:28.227052
38.0,6139,34.051544,-118.249184,True,10,10_533_1,157,2019-09-17 11:23:28.227052
89.0,6109,34.0834223,-118.339321,True,10,10_546_0,18,2019-09-17 11:23:28.227052
