heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
60.0,1630,33.876534,-118.346169,True,710,710_115_0,20,2019-09-17 11:27:47.367128
180.0,1629,33.886986,-118.326668,True,710,710_126_1,20,2019-09-17 11:27:47.367128
-4.0,8157,34.056797,-118.231216,False,,,17,2019-09-17 11:27:47.367128
358.0,1641,33.941585,-118.3263967,True,710,710_115_0,20,2019-09-17 11:27:47.367128
360.0,1644,34.021515,-118.335091,True,710,710_126_1,20,2019-09-17 11:27:47.367128
220.0,7917,33.858631,-118.280159,True,710,710_126_1,73,2019-09-17 11:27:47.367128
184.0,1638,34.011354,-118.3352272,True,710,710_126_1,21,2019-09-17 11:27:47.367128
182.0,1639,33.9217558,-118.326629,True,710,710_126_1,48,2019-09-17 11:27:47.367128
