heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
275.0,9360,34.0619407,-118.325923,False,720,,42,2019-09-17 11:25:45.821905
124.0,9349,34.0391197,-118.2403448,True,720,720_1122_0,14,2019-09-17 11:25:45.821905
82.0,9357,34.0668592,-118.3947633,True,720,720_1139_0,13,2019-09-17 11:25:45.821905
129.0,9363,34.0463142,-118.2516663,True,720,720_1139_0,42,2019-09-17 11:25:45.821905
165.0,9440,34.015137,-118.493996,False,720,,8,2019-09-17 11:25:45.821905
45.0,9382,34.025806,-118.489967,True,720,720_1122_0,38,2019-09-17 11:25:45.821905
300.0,9350,34.0605435,-118.2812743,True,720,720_1156_1,13,2019-09-17 11:25:45.821905
313.0,9480,34.0466229,-118.251381,True,720,720_1156_1,8,2019-09-17 11:25:45.821905
287.0,9545,34.067108,-118.383568,True,720,720_1144_1,8,2019-09-17 11:25:45.821905
94.0,9374,34.018764,-118.149734,True,720,720_1122_0,8,2019-09-17 11:25:45.821905
270.0,9366,34.0624619,-118.354431,True,720,720_1156_1,39,2019-09-17 11:25:45.821905
290.0,9370,34.0213733,-118.1615508,True,720,720_1144_1,14,2019-09-17 11:25:45.821905
289.0,9369,34.062984,-118.361015,True,720,720_1144_1,39,2019-09-17 11:25:45.821905
360.0,9519,34.039665,-118.239876,True,720,720_1144_1,8,2019-09-17 11:25:45.821905
105.0,9367,34.056908,-118.273537,True,720,720_1122_0,39,2019-09-17 11:25:45.821905
255.0,9552,34.059052,-118.445061,True,720,720_1150_1,8,2019-09-17 11:25:45.821905
270.0,9378,34.0619129,-118.293892,True,720,720_1144_1,180,2019-09-17 11:25:45.821905
130.0,9396,34.0193572,-118.4912692,True,720,720_1144_1,43,2019-09-17 11:25:45.821905
199.0,9377,34.0584149,-118.44522,True,720,720_1156_1,14,2019-09-17 11:25:45.821905
90.0,9387,34.0669425,-118.4027245,True,720,720_1122_0,14,2019-09-17 11:25:45.821905
