heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
359.0,1630,33.8722053,-118.3568872,True,710,710_115_0,51,2019-09-17 11:24:28.594673
179.0,1629,33.9019823,-118.3266582,True,710,710_126_1,50,2019-09-17 11:24:28.594673
220.0,8157,34.05677,-118.231186,True,710,710_126_1,189,2019-09-17 11:24:28.594673
360.0,1641,33.920204,-118.326469,True,710,710_115_0,135,2019-09-17 11:24:28.594673
360.0,1644,34.008427,-118.33506,True,710,710_126_1,163,2019-09-17 11:24:28.594673
178.0,1638,34.0237815,-118.3351735,True,710,710_126_1,78,2019-09-17 11:24:28.594673
227.0,1639,33.9311628,-118.3267082,True,710,710_126_1,22,2019-09-17 11:24:28.594673
174.0,1607,34.063206,-118.308479,True,710,710_126_1,192,2019-09-17 11:24:28.594673
