heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
120.0,8018,34.057678,-118.231087,True,745,745_107_1,103,2019-09-17 11:27:47.743484
210.0,8004,34.032761,-118.264816,True,745,745_107_1,131,2019-09-17 11:27:47.743484
28.0,8029,34.030865,-118.266098,True,745,745_106_0,73,2019-09-17 11:27:47.743484
359.0,1592,33.9555175,-118.2781365,True,745,745_106_0,21,2019-09-17 11:27:47.743484
345.0,8009,34.005344,-118.278389,True,745,745_106_0,103,2019-09-17 11:27:47.743484
165.0,6027,33.972897,-118.278351,True,745,745_107_1,46,2019-09-17 11:27:47.743484
